beta,load_comb,d,f_cck,chi1,chi2,rho,d_lower,a_to_d_ratio,weight
4.08492471040346,traffic,150,20,0.1,0,0.005,16,3,0
4.25511426147697,traffic,150,20,0.2,0,0.005,16,3,0.2564
4.42708016078298,traffic,150,20,0.3,0,0.005,16,3,0.9295
4.59664078937274,traffic,150,20,0.4,0,0.005,16,3,1
4.7585930277926,traffic,150,20,0.5,0,0.005,16,3,0.7692
4.90576338494749,traffic,150,20,0.6,0,0.005,16,3,0.2564
5.03013508585698,traffic,150,20,0.7,0,0.005,16,3,0.0769
5.12497358738158,traffic,150,20,0.8,0,0.005,16,3,0
5.1876514735618,traffic,150,20,0.9,0,0.005,16,3,0
4.02461672839444,traffic,300,20,0.1,0,0.005,16,3,0
4.19649810428747,traffic,300,20,0.2,0,0.005,16,3,0.2564
4.37027852099439,traffic,300,20,0.3,0,0.005,16,3,0.9295
4.54169107768495,traffic,300,20,0.4,0,0.005,16,3,1
4.70544121861208,traffic,300,20,0.5,0,0.005,16,3,0.7692
4.85423166350718,traffic,300,20,0.6,0,0.005,16,3,0.2564
4.97991779510752,traffic,300,20,0.7,0,0.005,16,3,0.0769
5.07568279800908,traffic,300,20,0.8,0,0.005,16,3,0
5.13893120072751,traffic,300,20,0.9,0,0.005,16,3,0
4.01205073841267,traffic,450,20,0.1,0,0.005,16,3,0
4.18398243601666,traffic,450,20,0.2,0,0.005,16,3,0.2564
4.35782851155254,traffic,450,20,0.3,0,0.005,16,3,0.9295
4.52933322299394,traffic,450,20,0.4,0,0.005,16,3,1
4.69320366716095,traffic,450,20,0.5,0,0.005,16,3,0.7692
4.84215207034229,traffic,450,20,0.6,0,0.005,16,3,0.2564
4.96804436159511,traffic,450,20,0.7,0,0.005,16,3,0.0769
5.06406821985709,traffic,450,20,0.8,0,0.005,16,3,0
5.12761680516642,traffic,450,20,0.9,0,0.005,16,3,0
4.00497834995998,traffic,600,20,0.1,0,0.005,16,3,0
4.17691668046329,traffic,600,20,0.2,0,0.005,16,3,0.2564
4.35077709183898,traffic,600,20,0.3,0,0.005,16,3,0.9295
4.52231255168222,traffic,600,20,0.4,0,0.005,16,3,1
4.68623247538962,traffic,600,20,0.5,0,0.005,16,3,0.7692
4.83525691740367,traffic,600,20,0.6,0,0.005,16,3,0.2564
4.96126032643547,traffic,600,20,0.7,0,0.005,16,3,0.0769
5.05743439974812,traffic,600,20,0.8,0,0.005,16,3,0
5.12116465682152,traffic,600,20,0.9,0,0.005,16,3,0
4.00041285544022,traffic,750,20,0.1,0,0.005,16,3,0
4.17234817015476,traffic,750,20,0.2,0,0.005,16,3,0.2564
4.34621021375127,traffic,750,20,0.3,0,0.005,16,3,0.9295
4.51775841116415,traffic,750,20,0.4,0,0.005,16,3,1
4.68170413659333,traffic,750,20,0.5,0,0.005,16,3,0.7692
4.83077332532784,traffic,750,20,0.6,0,0.005,16,3,0.2564
4.95684678561255,traffic,750,20,0.7,0,0.005,16,3,0.0769
5.05311930587416,traffic,750,20,0.8,0,0.005,16,3,0
5.11697106810128,traffic,750,20,0.9,0,0.005,16,3,0
4.10774783981076,traffic,150,40,0.1,0,0.005,16,3,0
4.27622344462522,traffic,150,40,0.2,0,0.005,16,3,0.2564
4.44655488257014,traffic,150,40,0.3,0,0.005,16,3,0.9295
4.61466797604618,traffic,150,40,0.4,0,0.005,16,3,1
4.77539404069464,traffic,150,40,0.5,0,0.005,16,3,0.7692
4.92167014158664,traffic,150,40,0.6,0,0.005,16,3,0.2564
5.04563274009704,traffic,150,40,0.7,0,0.005,16,3,0.0769
5.14056412971447,traffic,150,40,0.8,0,0.005,16,3,0
5.20370953381765,traffic,150,40,0.9,0,0.005,16,3,0
4.02518127486119,traffic,300,40,0.1,0,0.005,16,3,0
4.19700321636472,traffic,300,40,0.2,0,0.005,16,3,0.2564
4.37072616557844,traffic,300,40,0.3,0,0.005,16,3,0.9295
4.54209226412897,traffic,300,40,0.4,0,0.005,16,3,1
4.70580654591487,traffic,300,40,0.5,0,0.005,16,3,0.7692
4.85457604957808,traffic,300,40,0.6,0,0.005,16,3,0.2564
4.98026122720399,traffic,300,40,0.7,0,0.005,16,3,0.0769
5.07605402961755,traffic,300,40,0.8,0,0.005,16,3,0
5.13935691291488,traffic,300,40,0.9,0,0.005,16,3,0
4.01205450117385,traffic,450,40,0.1,0,0.005,16,3,0
4.18398566652554,traffic,450,40,0.2,0,0.005,16,3,0.2564
4.35783125217441,traffic,450,40,0.3,0,0.005,16,3,0.9295
4.52933557911986,traffic,450,40,0.4,0,0.005,16,3,1
4.69320575891753,traffic,450,40,0.5,0,0.005,16,3,0.7692
4.84215406316606,traffic,450,40,0.6,0,0.005,16,3,0.2564
4.96804651550035,traffic,450,40,0.7,0,0.005,16,3,0.0769
5.06407109171913,traffic,450,40,0.8,0,0.005,16,3,0
5.12762086435779,traffic,450,40,0.9,0,0.005,16,3,0
4.00497840366352,traffic,600,40,0.1,0,0.005,16,3,0
4.17691672472757,traffic,600,40,0.2,0,0.005,16,3,0.2564
4.35077712835041,traffic,600,40,0.3,0,0.005,16,3,0.9295
4.52231258234676,traffic,600,40,0.4,0,0.005,16,3,1
4.68623250229973,traffic,600,40,0.5,0,0.005,16,3,0.7692
4.83525694364384,traffic,600,40,0.6,0,0.005,16,3,0.2564
4.96126035777574,traffic,600,40,0.7,0,0.005,16,3,0.0769
5.05743445148284,traffic,600,40,0.8,0,0.005,16,3,0
5.12116475112572,traffic,600,40,0.9,0,0.005,16,3,0
4.00041285694756,traffic,750,40,0.1,0,0.005,16,3,0
4.17234817138281,traffic,750,40,0.2,0,0.005,16,3,0.2564
4.34621021474338,traffic,750,40,0.3,0,0.005,16,3,0.9295
4.51775841198438,traffic,750,40,0.4,0,0.005,16,3,1
4.68170413731315,traffic,750,40,0.5,0,0.005,16,3,0.7692
4.83077332604291,traffic,750,40,0.6,0,0.005,16,3,0.2564
4.95684678663662,traffic,750,40,0.7,0,0.005,16,3,0.0769
5.05311930772724,traffic,750,40,0.8,0,0.005,16,3,0
5.11697107268936,traffic,750,40,0.9,0,0.005,16,3,0
4.14323196549677,traffic,150,60,0.1,0,0.005,16,3,0
4.30715369067774,traffic,150,60,0.2,0,0.005,16,3,0.2564
4.47275199693413,traffic,150,60,0.3,0,0.005,16,3,0.9295
4.63641708834485,traffic,150,60,0.4,0,0.005,16,3,1
4.79318203016656,traffic,150,60,0.5,0,0.005,16,3,0.7692
4.93643295232366,traffic,150,60,0.6,0,0.005,16,3,0.2564
5.05869574262486,traffic,150,60,0.7,0,0.005,16,3,0.0769
5.1535812503324,traffic,150,60,0.8,0,0.005,16,3,0
5.21811008745436,traffic,150,60,0.9,0,0.005,16,3,0
4.06252235785535,traffic,300,60,0.1,0,0.005,16,3,0
4.23237172751123,traffic,300,60,0.2,0,0.005,16,3,0.2564
4.40412676257168,traffic,300,60,0.3,0,0.005,16,3,0.9295
4.57371734490278,traffic,300,60,0.4,0,0.005,16,3,1
